"ipa_ref","manufacturer_en","manufacturer_ch","location_of_prefabrication_factory_en","location_of_prefabrication_factory_ch","mic_type_en","mic_type_ch","model_no","module_type","intended_use_en","intended_use_ch","intended_maximum_building_height","intended_maximum_storey","date_of_acceptance","general_layout","letter_of_acceptance"
"MiC 1/2018","Unitised Building (Hong Kong) Investment Limited and Unitised Building (Shanghai) Building Technology Company Limited (优必(上海)建筑科技有限公司)","Unitised Building (Hong Kong) Investment Limited and Unitised Building (Shanghai) Building Technology Company Limited （优必(上海)建筑科技有限公司）","Shanghai, China","上海, 中國","Steel","鋼材","RUSH ","MA1, MA2, MB1, MB2, MC and MD","Residential-institution or Hostel","住宿機構或宿舍","53.2","15","7/9/2018","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012018_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012018_IPA.pdf"
"MiC 2/2018","Aluhouse Company Limited","Aluhouse Company Limited","Zhaoqing, Guangdong, China","肇慶, 廣東, 中國","Steel","鋼材","Aluhouse HK28 ","T1 and T2","Domestic","住用","11.45","3","18/9/2018","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022018_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022018_IPA.pdf"
"MiC 3/2018","Guangdong CIMC Building Construction Co. Ltd.","Guangdong CIMC Building Construction Co. Ltd.","Jiangmen, Gunagdong, China","江門, 廣東, 中國","Steel","鋼材","CIMC Modular Building Systems - V System ","A1, A2, B1, B2, C and D","Residential-institution or Hostel","住宿機構或宿舍","53.2","15","19/9/2018","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032018_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032018_IPA.pdf"
"MiC 4/2018","Nova Deko Modular Building Company Limited","路华迪高模块建筑有限公司","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","NDHK0018 ","A and B","Domestic","住用","9.6","3","31/12/2018","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042018_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042018_IPA.pdf"
"MiC 1/2019","Yau Lee Wah Concrete Precast Products Company Limited","有利華建築預製件有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","Concrete MiC 1.0","A, B and C","Domestic","住用","52","17","28/2/2019","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012019_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012019_IPA.pdf"
"MiC 2/2019","Moderna Homes (HK) Limited","Moderna Homes (HK) Limited","Zhangjiagang City, Jiangsu, China","張家港市, 江蘇, 中國","Steel","鋼材","MH-GEN-2 ","A1, A2, B1, B2, C and D","Residential-institution or Hostel","住宿機構或宿舍","53.2","15","1/4/2019","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022019_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022019_IPA.pdf"
"MiC 3/2019","Shunde Lunjiao Quon Hing Construction Material Company Limited","Shunde Lunjiao Quon Hing Construction Material Company Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Concrete","混凝土","001","","Domestic","住用","3.3","1","14/6/2019","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032019_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032019_IPA.pdf"
"MiC 4/2019","Nova Techoy Modular Construction Company Limited","德材路華組裝合成建築有限公司","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","NTMCCLHK0019","","Domestic","住用","13.453","4","24/10/2019","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042019_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042019_IPA.pdf"
"MiC 1/2020","China State Hailong Construction Technology Company Limited","China State Hailong Construction Technology Company Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","CSHL-STEEL-MIC ","A1, A2, B1, B2, C and D","Residential-institution or Hostel","住宿機構或宿舍","53.2","15","23/1/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012020_IPA.pdf"
"MiC 2/2020","Paul Y. – iMax Limited","Paul Y. – iMax Limited","Changshu, Jiangsu, China","常熟, 江蘇, 中國","Steel","鋼材","PISCBHO01 ","A, A-a, B, B-a, B1, B1-a, #B, #B-a, C, C-a, C1, C2, C3, C3-a","Hostel","宿舍","12.25","4","7/2/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022020_IPA.pdf"
"MiC 3/2020","Orientfunds Precast Limited","Orientfunds Precast Limited","Dongguan, Guangdong, China","東莞, 廣東, 中國","Concrete","混凝土","OPL01","","Volumetric bathroom module in a multi-storey building","多層大廈內的浴室立體組件","","","16/4/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032020_IPA.pdf"
"MiC 4/2020","Aggressive Construction Company Limited","Aggressive Construction Company Limited","Nansha, Guangdong, China","南沙, 廣東, 中國","Steel","鋼材","AGG(MIC)-JMC-001 ","A1, A1a, A2, A2a, B1, B2, C and C1","Domestic","住用","41.15","8","29/5/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042020_IPA.pdf"
"MiC 5/2020","Paul Y. - iMax Limited","Paul Y. - iMax Limited","Foshan, Guangdong, ChinaJiangmen, Guangdong, China","佛山, 廣東, 中國江門, 廣東, 中國","Steel","鋼材","PISCBHO02 ","A1, A2, B, C, D and E","Domestic","住用","35.3","8","29/5/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0052020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0052020_IPA.pdf"
"MiC 6/2020","CR Construction Company Limited","CR Construction Company Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","NTMCCLHK02B20 ","TCJ-S01, TCJ-S01A, TCJ-S02, TCJ-S01R, TCJ-S03 and TCJ-S04","Domestic","住用","35.3","8","19/6/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0062020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0062020_IPA.pdf"
"MiC 7/2020","Chun Wo Construction &amp; Engineering Co., Ltd.","Chun Wo Construction &amp; Engineering Co., Ltd.","Johor, Malaysia","柔佛, 馬來西亞","Concrete","混凝土","CW.MIC001","A1, A2, A3, A4, B1, B2, B3, C1, C2, C3, D1, D2, D4","Domestic","住用","129.8","39","23/6/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0072020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0072020_IPA.pdf"
"MiC 8/2020","Nova Techoy Modular Construction Company Limited","德材路華組裝合成建築有限公司","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","NTMCCLHK12A19 ","TYPE I and TYPE II","Domestic","住用","2.9","1","29/6/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0082020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0082020_IPA.pdf"
"MiC 9/2020","Chevalier (Construction) Co., Ltd.","Chevalier (Construction) Co., Ltd.","Zhongshan, Guangdong, China","中山, 廣東, 中國","Steel","鋼材","E-SERIES ","A1, A1*, B1, B1* and C1","Domestic","住用","30.4","8","30/6/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0092020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0092020_IPA.pdf"
"MiC 10/2020","China State Hailong Construction Technology Company Limited","China State Hailong Construction Technology Company Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","CSHL-STEEL-MiC01 ","1, 1(H, 2, 2(H, 3, 3(H and 4","Domestic","住用","35.4","8","8/7/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0102020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0102020_IPA.pdf"
"MiC 11/2020","Yau Lee Wah Concrete Precast Products Company Limited","有利華建築預製件有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Steel","鋼材","YLW STEEL MIC ","YLW-S01, YLW-S01R, YLW-S02, YLW-S02R, YLW-S03 and YLW-S04","Domestic","住用","35.9","8","17/7/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0112020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0112020_IPA.pdf"
"MiC 12/2020","Unistress Building Construction Limited","聯力建築有限公司","Baiyun, Guangdong, China","白雲, 廣東, 中國","Steel","鋼材","MIC-STEEL 01","","Domestic","住用","50.4","15","30/7/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0122020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0122020_IPA.pdf"
"MiC 13/2020","Wing Hong Shun Enterprises Limited","Wing Hong Shun Enterprises Limited","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","MIC-RC-001","","Domestic","住用","3.3","1","30/7/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0132020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0132020_IPA.pdf"
"MiC 14/2020","Nova Techoy Modular Construction Company Limited","德材路華組裝合成建築有限公司","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","NTMCCLHK01A20 ","TCT-01, TCT-02 and TCT-03","Volumetric toilet module in office building","辦公大樓內的廁所立體組件","","","20/8/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0142020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0142020_IPA.pdf"
"MiC 15/2020","China State Hailong Construction Technology Company Limited","China State Hailong Construction Technology Company Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Concrete","混凝土","CSHL-RC-MIC","A, B and C","Dormitory units","院舍房間","25.55","7","26/8/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0152020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0152020_IPA.pdf"
"MiC 16/2020","Yau Lee Wah Concrete Precast Products Company Limited","有利華建築預製件有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","Concrete MiC 2.0 - Demountable","YLC-1, YLC-1A, YLC-1R, YLC-1AR, YLC-2, YLC-2R, YLC-3, YLC-3R, YLC-4, YLC-4R, YLC-5, YLC-5R, YLC-6, YLC-6R, YLC-7, YLC-7R, YLC-8, YLC-8R, YLC-9, YLC-9R, YLC-10, YLC-11, YLC-11A, YLC-11AR, YLC-12, YLC-13, YLC-14, YLC-14A, YLC-14AR, YLC-14B, YLC-14BR, YLC-14R, YLC-15, YLC-16 and YLC-17","Domestic","住用","13.66","4","28/8/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0162020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0162020_IPA.pdf"
"MiC 17/2020","Unistress Building Company Limited","聯力建築有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","MIC-RC 01","A1, A2, A3, B1, B2, B3, C1, C2, C3, D1, D2 and D3","Domestic","住用","79.65","24","30/9/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0172020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0172020_IPA.pdf"
"MiC 18/2020","i-Box Modular Housing Limited","毅博組裝合成房屋有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","IBOXCON01","BOX-A, BOX-01, BOX-01A, BOX-02, BOX-02R, BOX-03, BOX-03R, BOX-04, BOX-04R, BOX-05, BOX-05R, BOX-06, BOX-06A, BOX-06B, BOX-07, BOX-07A, BOX-08, BOX-09, BOX-10, BOX-11 and BOX-12","Domestic","住用","14.4","4","19/10/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0182020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0182020_IPA.pdf"
"MiC 19/2020","Paul Y. – iMax Limited","Paul Y. – iMax Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","PISCBHO03 ","A1, A1 (Mirrored, A2, A2 (Mirrored, A3, A3 (Mirrored, A4, A4 (Mirrored, A5, A5 (Mirrored, A6, A6 (Mirrored, A7, A7 (Mirrored, A8, A8 (Mirrored, A9, A9 (Mirrored, A10, A10 (Mirrored, A11, A11 (Mirrored, A12, A12 (Mirrored, A13, A13 (Mirrored, A14, A14 (Mirrored, A15, A15 (Mirrored, B1, B1 (Mirrored, B2, B2 (Mirrored, C1, C1 (Mirrored, C2, C2 (Mirrored, C3, C3 (Mirrored, C4, C4 (Mirrored, C5, C6, D1, D1 (Mirrored, D2, D2 (Mirrored, D3, D3 (Mirrored, D4, E1, E1 (Mirrored, E2 and E2 (Mirrored.","Hostel","宿舍","70.25","17","30/10/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0192020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0192020_IPA.pdf"
"MiC 20/2020","Chevalier (Construction) Co., Ltd.","Chevalier (Construction) Co., Ltd.","Zhongshan, Guangdong, China","中山, 廣東, 中國","Steel","鋼材","R-SERIES ","A, B, C, D, E, F, G, H, I, J, K &amp; L","Domestic","住用","97.65","30","16/12/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0202020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0202020_IPA.pdf"
"MiC 21/2020","Urban Renewal Authority","市區重建局","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","MDM-GT","A1, A1M, A2, A3, B1, B1M and B2","Domestic","住用","83.75","23","30/12/2020","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0212020_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0212020_IPA.pdf"
"MiC 1/2021","Brilliant (Man Sau) Engineering Ltd.","Brilliant (Man Sau) Engineering Ltd.","Dongguan, Guangdong, China","東莞, 廣東, 中國","Steel","鋼材","S001 ","A, B1, B2, B3, C1, C2, S1A, S1B, S2A and S2B","Domestic","住用","11.68","4","14/1/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0012021_IPA.pdf"
"MiC 2/2021","CNQC Intelligent Construction (HK) Limited","CNQC Intelligent Construction (HK) Limited","Zhangjiagang, Jiangsu, ChinaZhuhai, Guangdong, ChinaFoshan, Guangdong, China","張家港, 江蘇, 中國珠海, 廣東, 中國佛山, 廣東, 中國","Steel","鋼材","CM276065 Type A to Type F ","A1, A1(2,  A1(3, A1(4, B1, B1(2, B1(3, B2, B2(2, B2(3, B3, B3(2, C1, C1(2, C1(3, D1, D1(2, D2, D2(2, D2(3, D2(4, E1, E1(2, E2, E4, F1 and F2","Domestic","住用","13.005","4","29/1/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0022021_IPA.pdf"
"MiC 3/2021","Techoy Construction Company Limited","德材建築工程有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","TMiC-01/C","Type A, Type B and Type C","Domestic","住用","12.6","4","12/3/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0032021_IPA.pdf"
"MiC 4/2021","Aggressive Construction Company Limited","Aggressive Construction Company Limited","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","AGG(MIC)-TEN-002","L1R, L1L, L1L-1, L2R(A, L2L(A, L2R(B, L2L(B, MB1L, MB1R-1, MB1L-1, MB1R-1(A, MB1L-1A, MB1R-1(B, B1R, B2R, B2L-1(A, B2L-1(B, B2L-1(C, B2L-1(D, T1R and K1","Domestic","住用","90.45","25","30/3/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0042021_IPA.pdf"
"MiC 5/2021","Gammon Construction Limited","Gammon Construction Limited","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","GCL/MIC/C/02","B1, B2, B2.1, B3, B3.1, B3.2, B3a, B3b, B3m, B4a, B4b, B4c, B5, L1, L2a, L2b, L3, L3.1, L3a, L4, L4.1, L4m, L5, K1, T1, T2, T3, BT1, BT1m, BT2, BT2.1, BT2m and BT3","Domestic","住用","90.45","25","30/4/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0052021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0052021_IPA.pdf"
"MiC 6/2021","Yau Lee Wah Concrete Precast Products Company Limited","有利華建築預制件有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","Concrete MiC 1.1-40","A1, A2, A3, A4, A5, A6, B1, B2, B3, B4, B5, B6, B7, C, D and E","Domestic","住用","130.4","40","13/5/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0062021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0062021_IPA.pdf"
"MiC 7/2021","China State Hailong Construction Technology Company Limited","China State Hailong Construction Technology Company Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Concrete","混凝土","CSHL-RC-MIC 1.0","1, 1(MIRROR, 1A, 1B, 1B(MIRROR, 1C, 1D, 1E, 1E(MIRROR, 1F, 2, 2A, 2B, 2C, 2D, 2E, 2F, 3, 3(MIRROR, 3A, 3B, 4, 5, 6, 6A, 6A(MIRROR, 6B, 6C, 6C(MIRROR, 7 and 7A","Domestic","住用","90.45","25","13/5/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0072021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0072021_IPA.pdf"
"MiC 8/2021","i-Box Modular Housing Limited","毅博組裝合成房屋有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Steel","鋼材","IBOXST01 ","TYPE SiB-1","Domestic","住用","12.584","4","1/6/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0082021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0082021_IPA.pdf"
"MiC 9/2021","Chun Wo Construction &amp; Engineering Co., Ltd.","Chun Wo Construction &amp; Engineering Co., Ltd.","Johor, Malaysia","柔佛, 馬來西亞","Concrete","混凝土","CW.MIC001.A","A1-1, A1-2, B1-1, B1-2, B1-3, C1-1 and C1-2","Domestic","住用","82.7","23","18/6/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0092021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0092021_IPA.pdf"
"MiC 10/2021","Chinney Construction Co., Ltd.","建業建築有限公司","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","CCCL-MIC-S01 ","TYPE 01, TYPE02, TYPE01R and TYPE02R","Domestic","住用","12.08","4","29/7/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0102021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0102021_IPA.pdf"
"MiC 11/2021","Chun Wo Construction &amp; Engineering Co., Ltd.","Chun Wo Construction &amp; Engineering Co., Ltd.","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","CW.MIC002 ","A, A1, A2, B, B1, C, C1, D, D1, E, E1, E2, F, F1, F2, F3 and F4","Domestic","住用","13.09","4","29/7/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0112021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0112021_IPA.pdf"
"MiC 12/2021","Paul Y. – iMax Limited","Paul Y. – iMax Limited","Changshu, Jiangsu, China","常熟, 江蘇, 中國","Steel","鋼材","PISCBRE01 "," M1, M2.1, M2.2, M3 and M4","Domestic","住用","66.25","20","30/8/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0122021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0122021_IPA.pdf"
"MiC 13/2021","Markbox Limited","Markbox Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","CV/2019/MIC02 ","Modular 1 and Modular 2","Office &amp; Shops","辦公室及商舖","3.74","1","17/9/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0132021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0132021_IPA.pdf"
"MiC 14/2021","Shui On Construction Company Limited","Shui On Construction Company Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Concrete","混凝土","SOC-RC-MIC 21.01","MiC-1, MiC-2, MiC-3, MiC-4, MiC-5 and MiC-6","Residential Care Homes (Elderly Persons)","安老院","27.31","7","26/10/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0142021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0142021_IPA.pdf"
"MiC 15/2021","Dragages Hong Kong Limited","Dragages Hong Kong Limited","Shenzhen, Guangdong, ChinaDongguan, Guangdong, China","東莞, 廣東, 中國深圳, 廣東, 中國","Concrete","混凝土","DHK-RC-001","A1, A1a, A1M, A2, A3, B1, B1M and B2","Domestic","住用","97.6","23","26/10/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0152021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0152021_IPA.pdf"
"MiC 16/2021","Unistress Building Construction Limited","聯力建築有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","MIC-RC 02","A1, A1R, A2, A3, B1, B1R and B2","Domestic","住用","97.6","23","18/11/2021","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0162021_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0162021_IPA.pdf"
